,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12
154,294001,ACTIVE,ساندویچ بار پریسکا,2023-08-08 16:15:14,,
155,233227,ACTIVE,کافه بابل تی فونسا,2023-08-08 16:30:21,,
156,273613,ACTIVE,کاسه کباب فونسا,2023-08-08 16:30:21,,
157,53730,ACTIVE,بستنی میو,2023-08-08 17:00:09,,
158,255336,ACTIVE,راد پروتئین,2023-08-08 17:30:22,,
159,66938,ACTIVE,کافه رستوران روکو,2023-08-08 18:15:12,,
160,36736,ACTIVE,رستوران شمس,2023-08-08 18:45:06,,
161,228867,ACTIVE,غذای ایرانی طاق,2023-08-08 18:45:20,,
162,272944,ACTIVE,آشپزخانه زمردی,2023-08-08 19:15:31,,
163,237635,ACTIVE,پیتزا 583,2023-08-08 19:45:25,,
164,82886,ACTIVE,کترینگ شاهان (مجیدیه),2023-08-08 20:15:18,,
165,45842,ACTIVE,لواشک دلیشک,2023-08-08 20:30:09,,
166,78982,ACTIVE,رستوران میزبان,2023-08-08 21:45:16,,
167,256355,ACTIVE,مطبخ خانه ماه بانو,2023-08-08 22:30:19,,
168,294193,ACTIVE,بریانکده مرغ طلایی,2023-08-08 23:30:18,,
169,320268,ACTIVE,فست فود وی,2023-08-08 23:45:16,,
170,280146,ACTIVE,باماهاس (جنت آباد),2023-08-09 1:45:04,,
171,30497,ACTIVE,کافه رئیس (جم),2023-08-09 7:45:03,,
172,31923,ACTIVE,کباب حلیم و آشکده نارنج,2023-08-09 7:45:03,,
173,101585,ACTIVE,کافه دوبار (پارک پرنس),2023-08-09 8:45:05,,
174,241082,ACTIVE,آرایشی بهداشتی فعال کیش,2023-08-09 9:15:10,,
175,42755,ACTIVE,رستوران گلپایگانی (هفده شهریور),2023-08-09 11:15:05,,
176,53254,ACTIVE,نان سحر (سپه سالار),2023-08-09 11:15:07,,
177,103274,ACTIVE,فست فود ویس لند(شعبه کشاورز),2023-08-09 11:15:13,,
178,11576,ACTIVE,پیتزا کاکتوس,2023-08-09 11:45:03,,
179,246208,ACTIVE,قهوه ملو (فردوسی),2023-08-09 11:45:21,,
180,303325,ACTIVE,رستوران هوپاد,2023-08-09 11:45:33,,
181,24862,ACTIVE,کافه گریل ببک,2023-08-09 12:15:05,,
