Vendor Id,Status,Name,Date,UpdateProfile
255336,ACTIVE,راد پروتئین,2023-08-08 17:30:22,
66938,ACTIVE,کافه رستوران روکو,2023-08-08 18:15:12,
36736,ACTIVE,رستوران شمس,2023-08-08 18:45:06,
228867,ACTIVE,غذای ایرانی طاق,2023-08-08 18:45:20,
272944,ACTIVE,آشپزخانه زمردی,2023-08-08 19:15:31,
237635,ACTIVE,پیتزا 583,2023-08-08 19:45:25,
82886,ACTIVE,کترینگ شاهان (مجیدیه),2023-08-08 20:15:18,
45842,ACTIVE,لواشک دلیشک,2023-08-08 20:30:09,
78982,ACTIVE,رستوران میزبان,2023-08-08 21:45:16,
256355,ACTIVE,مطبخ خانه ماه بانو,2023-08-08 22:30:19,
294193,ACTIVE,بریانکده مرغ طلایی,2023-08-08 23:30:18,
320268,ACTIVE,فست فود وی,2023-08-08 23:45:16,
280146,ACTIVE,باماهاس (جنت آباد),2023-08-09 1:45:04,
30497,ACTIVE,کافه رئیس (جم),2023-08-09 7:45:03,
31923,ACTIVE,کباب حلیم و آشکده نارنج,2023-08-09 7:45:03,
101585,ACTIVE,کافه دوبار (پارک پرنس),2023-08-09 8:45:05,
241082,ACTIVE,آرایشی بهداشتی فعال کیش,2023-08-09 9:15:10,
42755,ACTIVE,رستوران گلپایگانی (هفده شهریور),2023-08-09 11:15:05,
53254,ACTIVE,نان سحر (سپه سالار),2023-08-09 11:15:07,
103274,ACTIVE,فست فود ویس لند(شعبه کشاورز),2023-08-09 11:15:13,
11576,ACTIVE,پیتزا کاکتوس,2023-08-09 11:45:03,
246208,ACTIVE,قهوه ملو (فردوسی),2023-08-09 11:45:21,
303325,ACTIVE,رستوران هوپاد,2023-08-09 11:45:33,
24862,ACTIVE,کافه گریل ببک,2023-08-09 12:15:05,
267643,ACTIVE,جوجه بروستد دهخدا,2023-08-09 12:15:40,
276297,ACTIVE,فست فود هیلدا,2023-08-09 12:15:43,
