,Unnamed: 0.1,Unnamed: 0,Vendor Id,Status,Name,Date,UpdateProfile,Found_2023-08-22 12,Found_2023-08-22 15
99,99,99,236186,ACTIVE,لبنیات کارون,2023-08-07 7:45:05,,,
100,100,100,26633,ACTIVE,شیرینی فروشی اکلر (نیاوران),2023-08-07 9:45:02,,,
101,101,101,44870,ACTIVE,باقلوا استانبولی باکلاواچی (یوسف آباد),2023-08-07 10:15:04,,,
102,102,102,303292,ACTIVE,شیرینی و خشکبار اصل تبریز,2023-08-07 10:15:15,,,
103,103,103,9291,ACTIVE,فست فود تاپ استیک,2023-08-07 11:15:03,,,
104,104,104,17669,ACTIVE,فست فود سروژ,2023-08-07 11:15:03,,,
105,105,105,10274,ACTIVE,تهیه غذای طوس,2023-08-07 12:00:05,,,
106,106,106,42564,ACTIVE,ترک دنر (مطهری),2023-08-07 12:00:10,,,
107,107,107,60563,ACTIVE,کترینگ فاخته,2023-08-07 12:00:14,,,
108,108,108,21140,ACTIVE,فست فود زیمافود,2023-08-07 12:15:05,,,
109,109,109,45860,ACTIVE,رستوران پروفسور,2023-08-07 12:15:11,,,
110,110,110,313125,ACTIVE,فست فود گیاهی (های وگن),2023-08-07 12:15:12,,,
111,111,111,275525,ACTIVE,فست فود پکس,2023-08-07 12:15:43,,,
112,112,112,287639,ACTIVE,سیتی کنتاکی (فودکورت نیایش مال),2023-08-07 12:15:48,,,
113,113,113,318458,ACTIVE,تهیه‌ غذای‌ زیتون,2023-08-07 12:16:02,,,
114,114,114,279183,ACTIVE,دل کوک (تهرانپارس),2023-08-07 12:30:51,,,
115,115,115,56175,ACTIVE,پروتئین امیر (جردن),2023-08-07 12:45:15,,,
116,116,116,51911,ACTIVE,پیتزا قائم,2023-08-07 17:45:08,,,
117,117,117,310963,ACTIVE,فست فود ویژه زاپاتا (سهروردی),2023-08-07 18:00:35,,,
118,118,118,310018,ACTIVE,کباب ترکی علی بابا,2023-08-07 18:30:36,,,
119,119,119,46362,ACTIVE,فست فود ترنج (جمالزاده),2023-08-07 18:45:08,,,
120,120,120,246251,ACTIVE,کباب زعفرانی حاج علی,2023-08-07 18:45:22,,,
121,121,121,276189,ACTIVE,جی‌ کافه (بهشتی),2023-08-07 18:45:28,,,
122,122,122,34489,ACTIVE,کترینگ بیست,2023-08-07 19:00:08,,,
123,123,123,48501,ACTIVE,رستوران مون چری,2023-08-07 19:15:09,,,
124,124,124,50293,ACTIVE,تهیه غذای آریاپخت (صاحب الزمان),2023-08-07 19:15:10,,,
125,125,125,86655,ACTIVE,پیتزا طاها,2023-08-07 19:15:18,,,
126,126,126,77821,ACTIVE,آجیل و خشکبار دآستان (پالادیوم),2023-08-07 19:30:17,,,
127,127,127,19476,ACTIVE,کترینگ پارسی (جنت آباد),2023-08-07 19:45:05,,,
128,128,128,52387,ACTIVE,کباب سرای شیرازی نارون,2023-08-07 19:45:42,,,
129,129,129,33149,ACTIVE,کترینگ طالقانی,2023-08-07 20:00:11,,,
130,130,130,69151,ACTIVE,کترینگ محسن,2023-08-07 20:00:21,,,
131,131,131,248991,ACTIVE,کافه رستوران لگنو,2023-08-07 23:00:17,,,
132,132,132,71315,ACTIVE,طباخی افق,2023-08-08 7:45:04,,,
133,133,133,318057,ACTIVE,کافه سمفونی,2023-08-08 8:15:10,,,
134,134,134,303641,ACTIVE,پروتئین جم,2023-08-08 10:15:15,,,
